site,latitude,longitude
Sacre Coeur,48.88678220215675,2.343109664417679
Louvre,48.86071920487778,2.337638142050394
Montmartre,48.88720790235897,2.338883760127584
Port de Suffren,48.85774028127496,2.2902024677371067
Arc de Triomphe,48.873968093195366,2.295091870627564
Av. Champs Élysées,48.871055503647256,2.3036997207826544
Notre Dame,48.85317466007302,2.3498220237501655
Tour Eiffel,48.85850278524531,2.2945248713492403
